,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweet Count
30,BBC,Mon Jun 25 16:02:03 +0000 2018,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI",0.2732,0.231,0.769,0.0,31
31,BBC,Mon Jun 25 15:01:34 +0000 2018,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen,-0.5524,0.0,0.771,0.229,32
32,BBC,Mon Jun 25 14:57:32 +0000 2018,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,0.3182,0.161,0.839,0.0,33
33,BBC,Mon Jun 25 13:48:41 +0000 2018,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…",0.5423,0.164,0.836,0.0,34
34,BBC,Mon Jun 25 13:03:07 +0000 2018,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4",0.636,0.344,0.656,0.0,35
35,BBC,Mon Jun 25 12:04:05 +0000 2018,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK,0.5719,0.198,0.802,0.0,36
36,BBC,Mon Jun 25 11:01:03 +0000 2018,"📖✨🌲 From the Forbidden Forest at Hogwarts to Pooh's Hundred Acre Wood, here are six magical forests we love from ch… https://t.co/hCU6am8R3o",0.34,0.156,0.741,0.104,37
37,BBC,Mon Jun 25 10:12:49 +0000 2018,"🌋 Lava from Hawaii's Kilauea volcano creeps closer to more homes. 
 https://t.co/NfFXiwtVy7",0.0,0.0,1.0,0.0,38
38,BBC,Mon Jun 25 08:03:05 +0000 2018,This headteacher is budgeting to buy hygiene products for pupils as she's found some parents are struggling to affo… https://t.co/Bm4PrQ8ucC,-0.4215,0.0,0.872,0.128,39
39,BBC,Mon Jun 25 07:26:06 +0000 2018,"🤖 What does it mean for AI to have a soul?
👉 https://t.co/OkxIzH9cA2 https://t.co/XcEYkoIbst",0.0,0.0,1.0,0.0,40
40,BBC,Mon Jun 25 07:00:13 +0000 2018,Should we bring the woolly mammoth back from the dead? https://t.co/PASQyyoCXW,-0.6486,0.0,0.699,0.301,41
